datetime,date,hour,temperature,pressure,wind_speed,humidity,clouds,pm2_5,rain_1h
2026-04-29 09:07,2026-04-29,9,16.66,1010,3.13,94,100,6.43,
2026-04-29 10:44,2026-04-29,10,17.02,1010,4.02,92,75,3.79,
2026-04-29 11:28,2026-04-29,11,16.93,1010,4.63,92,75,3.79,
2026-04-29 12:17,2026-04-29,12,16.91,1011,2.57,92,75,3.01,
2026-04-29 13:33,2026-04-29,13,17.07,1011,4.12,92,75,2.4,0.0
2026-04-29 15:00,2026-04-29,15,19.18,1010,4.63,80,75,2.3,0.0
2026-04-29 16:56,2026-04-29,16,19.72,1010,6.17,75,75,1.97,0.0
2026-04-29 19:22,2026-04-29,19,19.42,1010,5.66,68,20,2.01,0.0
2026-04-29 20:00,2026-04-29,20,19.8,1011,5.14,66,20,1.96,0.0
2026-05-02 20:19,2026-05-02,20,21.66,1015,4.92,70,98,5.47,0.0
2026-05-02 21:29,2026-05-02,21,18.41,1015,2.06,77,0,2.79,0.0
2026-05-03 08:51,2026-05-03,8,19.22,1015,3.09,77,40,1.82,0.0
2026-05-03 11:42,2026-05-03,11,22.38,1014,3.13,53,72,2.19,0.0
2026-05-03 12:39,2026-05-03,12,22.77,1014,5.36,53,75,2.23,0.0
